No ,Date & Year,Opponent,Venue,Result,Man of the match
1,19-Apr-08,Kings Xl Punjab,Mohali,Won by 33 runs,Hussey
2,23-Apr-08,Mumbai Indians ,Chennai ,Won by 6 runs,Hayden
3,26-Apr-08,Kolkata Knight Riders,Chennai ,Won by 9 wickets ,Oram
4,28-Apr-08,Royal Challangers Bangalore,Bangalore,Won by 13 runs ,Dhoni 
5,02-May-08,Delhi Daredevils ,Chennai ,Lost by 8 wickets ,Sehwag
6,04-May-08,Rajasthan Royals ,Jaipur,Lost by 8 wickets ,Tanvir
7,06-May-08,Deccan Chargers ,Chennai ,Lost by 7 wickets ,Gilchrist
8,08-May-08,Delhi Daredevils ,Delhi,Won by 4 wickets ,Dhoni 
9,10-May-08,KIngs Xl Punjab,Chennai ,Won by 18 runs,Balaji
10,14-May-08,Mumbai Indians ,Mumbai,Lost by 9 wickets,Jayasuriya 
11,18-May-08,Kolkata Knight Riders,Kolkata,Won by 3 runs ,Ntini
12,21-May-08,Royal Challangers Bangalore,Chennai ,Lost by 14 runs,Kumble
13,24-May-08,Rajasthan Royals ,Chennai ,Lost by 10 runs,Morkel
14,27-May-08,Deccan Chargers ,Hyderabad,Won by 7 wickets,Raina
15,31-May-08,Kings Xl Punjab,Mumbai,Won by 9 wickets ,Ntini
16,01-Jun-08,Rajasthan Royals ,Mumbai,Lost by 3 wickets,Pathan
17,18-Apr-09,Mumbai Indians ,Cape town,Lost by 19 runs,Sachin
18,20-Apr-09,Royal Challangers Bangalore,Port Elizabeth,Won by 92 runs,Muralitharan
19,23-Apr-09,Delhi Daredevils ,Durban,Lost by 9 runs,Ab d
20,25-Apr-09,Kolkata Knight Riders,Cape town,Match abandoned,Match abandoned
21,27-Apr-09,Deccan Chargers ,Durban,Lost by 6 wickets,Gibbs
22,30-Apr-09,Rajasthan Royals ,Centurion,Won by 38 runs,Raina
23,02-May-09,Delhi Daredevils ,Johannesburg,Won by 18 runs,Jakati
24,04-May-09,Deccan Chargers ,East London,Won by 78 runs,Dhoni 
25,07-May-09,Kings Xl Punjab,Centurion,Won by 12 runs ,Hayden
26,09-May-09,Rajasthan Royals ,Kimberley,Won by 7 wickets,Badrinath
27,14-May-09,Royal Challangers Bangalore,Durban,Lost by 2 wickets ,Taylor
28,16-May-09,Mumbai Indians ,Port Elizabeth,Won by 7 wickets,Hayden
29,18-May-09,Kolkata Knight Riders,Centurion,Lost by 7 wickets ,Hodge
30,20-May-09,Kings Xl Punjab,Durban,Won by 24 runs ,Muralitharan
31,23-May-09,Royal Challangers Bangalore,Johannesburg,Lost by 6 wickets,Manish
32,14-Mar-10,Deccan Chargers ,Chennai ,Lost by 31 runs,Vaas
33,16-Mar-10,Kolkata Knight Riders,Kolkata,Won by 55 runs,Dhoni 
34,19-Mar-10,Delhi Daredevils ,Delhi,Won by 5 wickets,Hayden
35,21-Mar-10,Kings Xl Punjab,Chennai ,Lost by super over ,Theron
36,23-Mar-10,Royal Challangers Bangalore,Bangalore,Lost by 36 runs,Uthappa
37,25-Mar-10,Mumbai Indians ,Mumbai,Lost by 5 wickets ,Sachin
38,28-Mar-10,Rajasthan Royals ,Ahmedabad,Lost by 17 runs,Ojha
39,31-Mar-10,Royal Challangers Bangalore,Chennai ,Won by 5 wickets ,Vijay
40,03-Apr-10,Rajasthan Royals ,Chennai ,Won by 23 runs ,Vijay
41,06-Apr-10,Mumbai Indians ,Chennai ,Won by 2 runs,Raina
42,10-Apr-10,Deccan Chargers ,Nagpur,Lost by 6 wickets,Harris
43,13-Apr-10,Kolkata Knight Riders,Chennai ,Won by 9 wickets ,Ashwin
44,15-Apr-10,Delhi Daredevils ,Chennai ,Lost by 6 wickets,Gambhir
45,18-Apr-10,Kings Xl Punjab,Dharamsala,Won by 6 wickets,Dhoni 
46,22-Apr-10,Deccan Chargers ,Mumbai,Won by 36 runs,Bollinger
47,25-Apr-10,Mumbai Indians ,Mumbai,Won by 22 runs ,Raina
48,08-Apr-11,Kolkata Knight Riders,Chennai ,Won by 2 runs,Srikkanth
49,13-Apr-11,Kings Xl Punjab,Mohali,Lost by 6 wickets,Valthaty
50,16-Apr-11,Royal Challangers Bangalore,Chennai ,Won by 21 runs,Hussey
51,18-Apr-11,Kochi Tuskers Kerala,Kochi,Lost by 7 wickets ,Mccullam
52,22-Apr-11,Mumbai Indians ,Mumbai,Lost by 8 runs,Harbhajan
53,25-Apr-11,Pune Warriors India,Chennai ,Won 25 runs,Hussey
54,27-Apr-11,Pune Warriors India,Mumbai,Won by 8 wickets,Bollinger
