idx,Index,Date,Open,High,Low,Close,Adj Close,Volume,LTP,CHNG,%CHNG,TURNOVER,52 w-h,Point Change,% Change
Reliance Industries,NSE,"May 09, 2022",2337.69,2357.8,2276.01,2518.30,2510.74,8345649,715,-47.45,-6.22,532.63,901,79.22,-4.65
Tata Steel,NSE,"Jul 15, 2022",90.5,91.03,87.75,88.38,85.59,81253510,3138.00,-6.25,-0.2,322.53,3505.00,45.66,5.66
Tata Motors,NSE,"Sep 08, 2022",452.45,452.55,440,442.2,440.83,19336014,661,-18.9,-2.78,684,866.9,10.19,-21.49
HFCL,NSE,"Nov 02, 2022",83.15,84.85,82.05,82.6,82.6,963087,3335.00,-56.7,-1.67,114.59,4361.40,9.3,-12.05
ITC,NSE,"Mar 04, 2022",217.7,227.4,217,225.5,215.58,66835736,16684.00,-684.85,-3.94,576.79,19325.00,91.38,-9.1
Adani Power,NSE,"Jan 07, 2022",101.4,102.45,99.5,100.2,100.2,4759250,6780.00,-345.8,-4.85,1161.63,8050.00,44.57,-13.69
NIFTY,Nifty 50,"Nov 10, 2022",18044.35,18103.10,17969.40,18028.20,18028.20,256500,735.85,-29.3,-3.83,830.06,781.8,58.55,5.7
Apollo Micro Systems Ltd,NSE,"Dec 12, 2022",25.8,26.82,25.3,26.67,26.67,719790,377.4,-22.7,-5.67,383.54,503,-1.22,-12.45
Reliance BP Mobility Ltd,NSE,"Mar 01, 2022",28.78,29.33,28.18,28.49,26.68,24860000,3566.60,-6.8,-0.19,133.23,4153.00,0.3,-3.42
DJI,DJI,"Apr 05, 2022",34876.33,35112.21,34566.04,34641.18,34641.18,30401000,965,65.05,7.23,1380.90,1005.00,31.89,6.34
Google,NasdaqGS,"Feb 15, 2022",137.47,137.9,135.54,136.43,136.43,26578000,155.9,-2.65,-1.67,185.5,203.8,25.78,-10.94
Microsoft,NasdaqGS,"Oct 05, 2022",245.99,250.58,244.1,249.2,246.82,20347100,4940.00,140.2,2.92,775.37,5425.10,42.39,-1.57
Apple,NasdaqGS,"Jun 08, 2022",148.58,149.87,147.46,147.96,146.88,53950200,4750.00,158.4,3.45,508.97,5614.60,-1.17,1.8
Tesla,NasdaqGS,"Apr 11, 2022",326.8,336.16,324.88,325.31,325.31,59357100,2440.75,-79.65,-3.16,136.56,3037.00,-5.95,-5.77
SpaceX,NSE,"Sep 20, 2022",699.9,715,698.4,706.15,700.14,2330872,1685.80,-80.95,-4.58,127.84,1893.00,99.95,-3.08
Bayerische Motoren Werke AG,XETRA,"Oct 03, 2022",69.59,71.14,68.61,70.73,65.18,1062248,1111.65,-13.15,-1.17,246.06,1377.75,34.79,-4.73
Mercedes Benz Group AG,XETRA,"Aug 30, 2022",57.37,57.55,56.6,56.75,52.56,26100,2745.00,-122.75,-4.28,927.88,3021.10,25.27,-5.72
Adidas AG,XETRA,"Dec 13, 2022",66.7,67.15,65.08,65.44,65.16,141200,1489.50,-36.45,-2.39,1394.10,1725.00,6.18,-9.88
Vedanta Ltd,NSE,"Jan 28, 2022",330.9,335.9,323.15,327.65,213.34,15967353,669.75,-19.05,-2.77,151.4,775.65,0.7,-2.94
Alembic Ltd,NSE,"Nov 09, 2022",76.55,77.25,75.9,76.55,74.46,217318,2526.80,-67.9,-2.62,174.04,3629.05,-16.02,-6.43
Meta Platforms Inc,NasdaqGS,"Oct 24, 2022",127.25,133.48,124.57,129.72,129.72,63563400,417.7,-29.35,-6.57,631.93,551.85,86.93,-14.06
Infosys Ltd,NYSE,"May 17, 2022",1494.90,1525.00,1480.90,1518.45,1447.11,6516378,2340.90,-8.15,-0.35,572.85,2859.30,9.6,-3.94
IBM Common Stock,NYSE,"Jun 28, 2022",142.92,144.16,141.32,141.86,133.39,4064800,720.45,-30.6,-4.07,1385.86,867,52.41,-13.14
Tata Consultancy Services Ltd,NSE,"Nov 17, 2022",3340.00,3360.00,3317.75,3349.00,3249.82,1417986,899.95,-59.35,-6.19,622.74,1242.00,5.25,-22.08
Hindustan Unilever Ltd,NSE,"Sep 12, 2022",2591.00,2605.00,2574.00,2580.40,2542.44,1595709,1689.55,-32.85,-1.91,764.67,1848.00,51.44,-0.83
Aditya Birla Money Ltd,NSE,"Mar 28, 2022",61.5,61.5,59.6,59.8,59.8,59815,121.15,-4.5,-3.58,94.57,141.5,41.28,-7.87
Aditya Birla Capital Ltd,NSE,"Jun 14, 2022",94,97.3,94,94.95,94.95,2170914,223.6,-7.7,-3.33,610.54,265.3,15.35,-5.53
Sony Group Corp,NYSE,"Oct 17, 2022",65.07,66.34,65.07,66.09,66.09,897500,630,-50.9,-7.48,574.61,776.5,86.25,-9.27
Maruti Suzuki India Ltd,NSE,"Jul 01, 2022",8440.00,8450.00,8305.60,8402.60,8269.82,530569,1960.00,-75.1,-3.69,522.52,2253.00,5.24,-11.35
Hero Motocorp Ltd,NSE,"Apr 13, 2022",2291.55,2311.15,2268.90,2274.40,2137.30,426929,1781.00,-68.9,-3.72,502.81,1981.75,59.59,-0.85
