Rows,Incubation_Center,Name_of_the_startup,Location_of_company,Sector,Company_profile,Year,CIN,Paid_up_capital
1,SIIC IIT Kanpur,E-Trainer Analytics Wizard Pvt ltd,New Delhi,Fit-Tech,"Fitbuddy, a flagship brand under E-Trainer Analytics Wizards Pvt. Ltd, will facilitate hyper personalised trainer exp providing real time workout Analytics as well as deviation alerts to users. It will be affordable and accessible fitness SaaS model which will help customers to achieve their fitness goals and allow trainers to expand their business scale.",2020,U92419DL2020PTC366231,705000
2,SIIC IIT Kanpur,Invariance Automation Private Limited,"Kanpur, UP",Industrial Automation,Currently we are developing the infrastructure for double layer PCB manufacturing and assembly of SMD components over the PCB which is also known as Smt Technology. Our major products under development are Pick and Place machine and Temperature profile controlled reflow oven.,2020,U73100UP2020PTC132656,5000
3,"SIIC, IIT Kanpur",Neoperk Technologies Pvt. Ltd.,"Mumbai, Maharashtra",Agri-Tech - Soil Testing,"Neoperk makes large scale soil testing extremely easy, reliable and affordable by testing more than 1000 samples in less than 15 days at zero recurring cost of chemicals for Farmer Producer Organizations (FPO/FPCs) using our rapid soil testing technology. Based on the plant-available nutrients – N, P, K, pH and Organic Carbon (OC) measured in soil, customized crop-specific recommendations are given to the farmers which helps them reduce cultivation cost, improve crop yields in terms of quality as well as quantity and increase their net income by up to 40%.",2019,U72900MH2019PTC331279,600000
4,SIIC IIT Kanpur,WeRehab Technologies Pvt Ltd,Nagpur,Health-tech,"WeRehab Technologies Pvt Ltd. Is a startup founded in Dec 2020, incubated at IIT Kanpur. We are virtual foot health and Physiotherapy clinic. Our product portfolio includes custom orthotic insoles and slippers for improving foot health of our patients and clients. And a smart insole technology for gait analysis of patients, athletes, and fitness enthusiasts who like to be on top of their performance and health.
Through this technology, we'll make it easier for physios, coaches and other related physicians to early diagnose various conditions such as diabetic foot ulcers, osteoarthritis, muscular imbalances, injury risk, fall risk, etc.


",2020,U85300MH2020PTC351417,100000
5,SIIC IIT Kanpur,Arthavedika Tech Pvt Ltd,"Noida, Uttar Pradesh",Fintech,"Arthavedika Tech Pvt Ltd is a DIPP certified technology Startup incubatee, founded by a team of experienced professionals in the Indian IT industry, under Foundation for Innovation & Research in Science and Technology, with its registered address at IIT Kanpur.

In the organised income sector there are different ways of recognising Financial Identity of a person through his salaried employment, ITR and other financial instruments to validate his creditworthiness. But this is not true for the unorganized income sector, say for a maid, electrician, Plumber etc. where they do not have an instrument to show their financial identity and thus the creditworthiness. Because of this they are deprived of many of the schemes of financial assistance from government. 

The problem will be resolved through a Deeptech platform (AI) and through an organised field force collating and verifying field data. The details of the beneficiary is taken in different headings like, the personal information, Acquaintances, Bank details, Loan details , Income , Skill set, Proof of assets, Family details , Expenditure details , Health information , and social contacts
",2019,U72900UP2019PTC124059,2000000
6,SIIC IIT Kanpur,Life and Limb (P) Ltd,"Kanpur, Uttar Pradesh",Health-Tech,"Life and Limb (P) Ltd. aims to provide a cost-effective and high-quality prosthesis solution for patient-specific fitment, with a dedicated team of professionals, and appreciated by its users. Life and Limb (P) Ltd seeks to cater to 5 lac people in India, having upper limb amputation.",2020,U74999UP2020PTC132172,110000
7,SIIC IIT Kanpur,Offgrid EnergyLabs,Kanpur Nagar,Clean Energy,Deep-science battery tech firm building efficient and sustainable technologies.,2018,U29309DL2018PTC328666,4966000
8,Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,Bengaluru,Aerospace and defence,Xovian is an Aerospace Company with a vision to provide low-cost sustainable solutions in satellite technologies. The company is backed up with the team of decades of experience in satellite technology.,2018,U74999KA2018PTC117927,100000
9,Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics,"It is inolved in Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms.",2019,U72200HR2019PTC081441,100000
10,Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT,"Murph Technologies is a provider that promises to deliver the most innovative and agile solutions and products. We majorly work in the field of education and software services. For students, we provide a range of embedded learner kits along with independent electronic components to get their creative minds working.",2020,U72501HR2020PTC090662,100000
